,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
0,1636148068921376768,Gaia DR3 604917625061651328,604917625061651328,780271500,2016.0,132.85054101353114,0.055256553,11.807407161462361,0.03141725,1.0984145590236534,0.06606167,16.627108,11.457471,-11.04388951607914,0.06934585,-3.0505970303980257,0.05920858,-0.36498588,-0.17109962,0.003179879,-0.16747889,0.21767464,-0.08333379,0.2131777,0.2276044,0.006352564,-0.37610888,374,0,374,0,-0.0123443315,384.55887,0.0,0.0,31,False,1.4388468,,,,,,,,43,17,0.106119774,45,7,0,0.07145592,13.975007,0,0,0.99864256,0.38930476,0.57325643,0.3219975,0.200531,-178.4258,12.481091,-57.75482,-17.198826,False,378,4300.292250009085,2.714618,1584.1243,16.603622,38,1758.1997992567462,26.290667,66.875435,17.225872,38,3800.5865685177428,33.51804,113.38928,15.798269,1.2926532,0,0,0,0,0,1.4276028,0.6222496,0.80535316,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.70040442814093,31.922066636611188,131.98218010792107,-5.60756130651689,False,False,0,True,False,False,False,False,True,True,False,1.0244944e-13,5.231386e-13,0.99995774,4397.889,4384.1367,4410.3164,4.5037,4.4917,4.5165,-0.1446,-0.1766,-0.1096,929.5177,915.7405,945.8339,0.1945,0.1746,0.2141,0.147,0.1318,0.1618,0.0776,0.0696,0.0855,MARCS,0.002639546378763613
1,1636148068921376768,Gaia DR3 604917629355038720,604917629355038720,489463705,2016.0,132.850311092646,0.013417646,11.806077942155428,0.007333114,1.1559613347905093,0.016312508,70.863495,11.511503,-11.139411248344263,0.01671277,-2.9031394729747797,0.01265993,-0.29335,-0.10471359,-0.07175186,-0.06782572,0.175233,-0.009478432,0.06510752,0.25602475,-0.12451087,-0.29623345,383,365,382,1,-1.9815003,499.27728,0.05358888,3.6462817,31,True,1.5729841,,,,,,,,44,17,0.024430456,46,8,0,0.093220256,13.325346,1,0,0.9278505,,,,,,,,,False,397,159713.22488265717,30.956549,5159.271,12.679014,40,88368.48080651273,46.457256,1902.1459,12.972798,40,101852.759146241,51.706795,1969.8138,12.227963,1.1910175,0,0,0,0,0,0.7448349,0.29378414,0.45105076,33.39791,3.8970828,1,16,11,12,19.090511,5.0908847,3.9077306e-09,902.36176,51.13795,6000.0,4.5,-0.25,111,,,,11.988029,0.033667486,5,,NOT_AVAILABLE,215.70171565786043,31.92130581399433,131.98232553538375,-5.608901652456847,False,False,0,True,True,False,False,False,True,True,False,1.0493143e-13,5.241272e-13,0.999712,5854.7104,5849.5283,5870.6387,3.8692,3.8632,3.9403,-0.3989,-0.4172,-0.2864,798.8673,738.8564,802.5237,0.002,0.0008,0.0035,0.0017,0.0007,0.003,0.0009,0.0003,0.0016,MARCS,0.0039276586826993715
2,1636148068921376768,Gaia DR3 604917629355039360,604917629355039360,67002387,2016.0,132.8469377922886,0.042236824,11.807361863587866,0.02416458,1.1065778094522156,0.050490905,21.916378,11.656208,-11.085430614333694,0.05155157,-3.6028354883888527,0.041016977,-0.24806468,-0.026194349,0.027397605,-0.08594364,0.12379228,-0.027128547,0.17698863,0.32341805,-0.13637072,-0.2406276,357,0,357,0,34.556328,2307.977,0.3344179,60.342213,31,False,1.5005183,,,,,,,,41,18,0.07529203,43,8,0,0.071826644,10.958024,0,0,2.5523248,0.4183657,0.5563901,0.33395717,0.2236084,-173.50116,10.839226,-54.36169,-18.71249,False,362,44970.617942868026,35.496365,1266.9077,14.055045,36,21634.023026599934,70.90066,305.1315,14.500699,37,33633.823280224584,71.7264,468.9183,13.430955,1.2289768,0,1,0,0,0,1.0697441,0.44565392,0.6240902,20.162373,4.8198195,2,23,12,15,9.61978,,,902.36176,,4750.0,3.5,-0.75,111,,,,12.941814,0.080226265,11,,NOT_AVAILABLE,215.69871342641716,31.918844590999296,131.97878196802944,-5.608563586500259,False,False,0,True,True,False,False,False,True,True,False,1.0325312e-13,5.1574413e-13,0.99987817,5343.281,5304.9453,5378.925,3.8437,3.782,3.8703,-0.3401,-0.378,-0.3109,1023.7925,1000.0395,1090.389,0.3802,0.3543,0.4048,0.3091,0.2877,0.3295,0.1661,0.1547,0.1771,MARCS,0.003993591728047157
3,1636148068921376768,Gaia DR3 604917629354073728,604917629354073728,935445147,2016.0,132.84902273870503,0.54562396,11.805027778417527,0.24014713,3.1237630586971585,0.6868323,4.5480723,7.477883,-4.706776158621859,0.62233436,-5.810764956450521,0.46695754,-0.20391406,-0.41128337,-0.06499961,0.31395835,0.06897768,0.14016224,-0.13408422,0.31623247,-0.4966397,-0.1392252,321,0,320,1,-0.52441597,346.9159,0.0,0.0,95,False,,0.9915541,0.09932205,-0.16607893,-0.16435999,-0.19250278,-0.126716,0.2536318,38,16,0.90916,41,7,0,0.032090843,90.37157,0,0,0.97809273,0.42014158,0.6457313,0.28475988,0.2981591,-167.02179,5.278122,-52.846977,-9.628726,False,330,200.4600112815124,0.89120156,224.9323,19.932297,21,55.185893284884145,8.814949,6.260489,20.983973,29,253.8512826476781,14.593653,17.394636,18.736446,1.54164,0,0,0,1,0,2.2475262,1.0516758,1.1958504,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.7022172966357,31.91972090643805,131.98139290651704,-5.6102550691199085,False,False,0,False,False,False,False,False,False,False,False,1.2464107e-11,2.3813904e-09,0.99999267,,,,,,,,,,,,,,,,,,,,,,,0.005058841311601168
4,1636148068921376768,Gaia DR3 604917629355038848,604917629355038848,509091296,2016.0,132.8454253721632,0.012459375,11.813720717979884,0.0071338867,1.1644076200402365,0.015232681,76.441414,11.395696,-11.033650343575852,0.015510631,-2.8496391354890416,0.011798521,-0.29159623,-0.0857681,-0.070075795,-0.06733307,0.17738591,-0.008396446,0.041754633,0.25345448,-0.12980789,-0.3027636,366,366,365,1,-2.1983435,469.63852,0.03901617,1.960192,31,True,1.5753127,,,,,,,,42,17,0.022723941,43,8,1,0.09381112,13.252643,0,0,0.9183015,,,,,,,,,False,340,179996.7047748994,39.14663,4598.0127,12.549206,36,100096.45318246217,56.03442,1786.3387,12.837496,35,114323.20881012981,38.5345,2966.7754,12.102559,1.1912421,0,0,0,0,0,0.7349367,0.28829002,0.4466467,37.05414,9.14221,1,19,9,12,19.813267,19.30919,0.0,870.9536,117.25303,6000.0,4.5,-0.5,101,,,,11.865091,0.024234133,10,20.139835,NOT_AVAILABLE,215.69117959950657,31.920161810586404,131.9756138028712,-5.60284649619241,False,False,0,True,True,True,False,False,False,True,False,1.0679834e-13,5.3345235e-13,0.99952716,,,,,,,,,,,,,,,,,,,,,,,0.005830039785603682
5,1636148068921376768,Gaia DR3 604917698073552640,604917698073552640,1458302326,2016.0,132.84293097103154,0.45522094,11.812018820507323,0.24804763,0.846232349539159,0.61905575,1.3669727,6.0078406,-4.910936579021049,0.5881273,-3.4607590930988366,0.417589,-0.30312198,-0.18023713,-0.28493825,0.10260947,0.18202907,0.14986676,-0.21114613,0.50472635,-0.37462074,-0.30860567,345,0,340,5,0.5700992,366.60013,0.0,0.0,95,False,,1.3624165,0.09993259,-0.05602173,-0.20662986,-0.31231335,-0.09151347,0.3189755,41,18,0.8993056,44,8,2,0.12698574,7.618846,8,0,1.0211335,0.40009174,0.5841802,0.28979087,0.23089494,-168.82985,8.498973,-53.34006,-17.463505,False,349,192.62022669009002,0.86105925,223.70148,19.975613,33,83.80103178789538,9.404019,8.911193,20.530418,36,338.14951317324494,9.992392,33.8407,18.425123,2.1905828,0,33,0,36,0,2.1052952,0.55480576,1.5504894,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.6917965972752,31.917232055330597,131.97371763526257,-5.605147923934205,False,False,0,False,False,False,False,False,False,False,False,5.706035e-11,7.129717e-06,0.9999492,,,,,,,,,,,,,,,,,,,,,,,0.007215079655801689
6,1636148068921376768,Gaia DR3 604917663714774784,604917663714774784,1700502935,2016.0,132.85391265515494,0.015508066,11.816874464105041,0.00856372,1.2258146711835962,0.019640155,62.413696,10.372259,-9.847699282419299,0.01946015,-3.256774812901664,0.014130231,-0.26570103,-0.06091058,-0.09814699,0.040643744,0.20272197,0.10208922,-0.012161955,0.36145592,-0.1979888,-0.2334957,361,0,360,1,4.131624,516.939,0.06452274,4.091834,31,False,1.5676142,,,,,,,,42,18,0.028323764,45,9,0,0.06363412,8.57063,0,0,1.1580116,0.33367863,0.56846666,0.30340636,0.24130929,179.44258,11.144899,-58.15358,-16.779718,False,365,108908.87665856008,29.609295,3678.199,13.094708,40,59725.106874322955,37.89299,1576.1519,13.3981495,38,70317.17813337604,32.48352,2164.7031,12.630242,1.1940467,0,0,0,0,0,0.76790714,0.30344105,0.4644661,35.360603,1.9452891,2,21,10,12,14.927497,,,870.9536,,5750.0,4.5,-0.25,101,,,,12.375519,0.029413357,11,,NOT_AVAILABLE,215.69190158456018,31.92902660159898,131.9827854702207,-5.597553386747785,False,False,0,True,True,False,False,False,False,True,False,1.03910167e-13,5.1902607e-13,0.99981314,5904.9004,5893.588,5917.378,4.0118,3.9861,4.0299,-0.3533,-0.3644,-0.3445,792.1054,771.703,819.9122,0.0122,0.0058,0.0199,0.0103,0.0049,0.0168,0.0055,0.0026,0.0091,PHOENIX,0.0078714809378394
7,1636148068921376768,Gaia DR3 604917663714774272,604917663714774272,183242236,2016.0,132.85762241691984,0.041218814,11.812667685364396,0.02053518,1.1015407184512493,0.052074824,21.153038,11.64583,-11.173787200458285,0.050051365,-3.282048551879108,0.034633618,-0.28921643,-0.3048299,-0.16440998,0.1279952,0.197684,0.110683754,-0.035326958,0.3864476,-0.3071037,-0.21106985,352,0,350,2,-0.1506029,354.7465,0.0,0.0,31,False,1.4634309,,,,,,,,41,17,0.073413596,45,9,0,0.04336735,13.366872,0,0,0.99330795,0.45239326,0.5936708,0.3151612,0.21028674,-172.27768,10.3950405,-54.007404,-14.083832,False,346,8625.91196381993,3.0715685,2808.3086,15.847855,29,3748.645141281207,15.255978,245.71648,16.403856,30,6901.146077377969,18.189325,379.40637,15.150593,1.2346278,0,0,0,1,0,1.2532635,0.55600166,0.6972618,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.69819405098823,31.93056365969922,131.98744572615112,-5.600614617146549,False,False,0,True,False,False,False,False,True,True,False,1.0259681e-13,5.1247846e-13,0.99994314,4543.977,4533.1064,4561.367,4.1769,4.1594,4.1928,-0.5957,-0.6298,-0.5518,1179.3005,1153.1456,1205.9913,0.0187,0.0052,0.0373,0.0144,0.004,0.029,0.0077,0.0021,0.0154,PHOENIX,0.007920053033736272
8,1636148068921376768,Gaia DR3 604917629355040896,604917629355040896,131126493,2016.0,132.8421994417987,0.034000006,11.807751792394754,0.019937992,1.1691609936094862,0.041188832,28.385387,11.4789915,-11.063504733290895,0.04151057,-3.0604091035192464,0.03045822,-0.30165875,-0.04837093,-0.082672074,0.0004253832,0.0853157,0.03554257,-0.0071809,0.3289032,-0.17270726,-0.19900644,360,0,359,1,3.3880377,470.24945,0.13330026,3.1449485,31,False,1.4862297,,,,,,,,42,18,0.059742115,45,9,0,0.07708465,12.772606,0,0,1.1290147,0.33566132,0.5444232,0.30590034,0.2174528,-174.21416,12.147024,-53.943943,-21.704933,False,342,12602.98746474831,3.8526099,3271.2856,15.436183,32,5876.003904065007,14.338639,409.80206,15.915837,33,9637.053818541246,12.352854,780.14795,14.788034,1.2309033,0,1,0,1,0,1.1278028,0.4796543,0.64814854,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.69600889458812,31.91479565304558,131.9741905143234,-5.609448943420403,False,False,0,True,False,False,False,False,True,True,False,1.0238198e-13,5.1142e-13,0.9999644,5020.8257,4999.776,5043.7334,4.4516,4.4256,4.4723,-0.3564,-0.3815,-0.3317,856.3307,827.6485,896.4397,0.2262,0.2073,0.2451,0.1809,0.1656,0.1961,0.0966,0.0885,0.1047,MARCS,0.007963542165495972
9,1636148068921376768,Gaia DR3 604917659419190656,604917659419190656,580054079,2016.0,132.85613980132848,0.07224661,11.81526991345497,0.03843475,0.9809370682808016,0.09323834,10.520748,11.460933,-11.067334633721337,0.092047594,-2.977765455888119,0.06342746,-0.28946182,-0.22481939,-0.18370536,0.08937143,0.2551378,0.15354851,-0.036744606,0.46042186,-0.23186544,-0.22450018,371,0,369,2,1.0864097,412.06702,0.20681737,1.7802196,31,False,1.3650632,,,,,,,,43,17,0.13580768,45,9,0,0.040125154,7.793511,0,0,1.0396062,0.44434798,0.59493315,0.32748225,0.208038,-174.9789,10.587492,-56.618008,-14.743497,False,365,3105.0226180318273,2.3002174,1349.8822,16.957205,33,981.677124745753,11.565494,84.87983,17.85862,30,3161.6808370075996,11.749625,269.0878,15.9981,1.3344051,0,2,0,3,0,1.8605194,0.9014149,0.95910454,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.69469367895246,31.930334868657056,131.9853316587444,-5.598504908049083,False,False,0,True,False,False,False,False,True,True,False,1.06806396e-13,5.5818626e-13,0.99952716,4086.307,4078.1697,4095.6768,4.6516,4.6411,4.6621,0.0025,-0.011,0.0206,590.1867,584.7515,596.676,0.5967,0.5808,0.6125,0.4282,0.4167,0.4397,0.2327,0.2265,0.2388,MARCS,0.007992504368546233
